latitude,longitude,size_in_sqft,no_of_bedrooms,no_of_bathrooms,quality,maid_room,unfurnished,balcony,barbecue_area,built_in_wardrobes,central_ac,childrens_play_area,childrens_pool,concierge,covered_parking,kitchen_appliances,lobby_in_building,maid_service,networked,pets_allowed,private_garden,private_gym,private_jacuzzi,private_pool,security,shared_gym,shared_pool,shared_spa,study,vastu_compliant,view_of_landmark,view_of_water,walk_in_closet,price
25.072375,55.136286,1674,3,4,High,False,True,True,False,True,True,False,False,True,True,True,False,True,False,False,False,False,False,False,True,True,True,True,False,False,True,True,True,2750000
25.221028,55.361808,4071,3,4,Medium,False,True,True,False,True,True,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,3250000
25.125472,55.153066,1475,2,3,Medium,False,False,True,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,2600000
25.074439,55.133386,1002,1,2,Medium,False,False,True,False,True,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,1795000
25.207533,55.277978,968,1,2,Low,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1500000
25.042779,55.22176999999999,768,1,1,Medium,False,False,True,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,420000
25.065988,55.212062,1492,2,3,Medium,False,True,True,False,True,True,False,True,True,True,False,True,True,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,850000
25.080143,55.152381000000005,398,0,1,Medium,False,True,False,False,True,True,False,False,True,True,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,True,False,385000
25.186836,55.276951,915,1,1,Low,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1000000
25.172418,55.306951,330,0,1,Medium,False,True,True,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,525000
25.12913,55.152902000000005,1158,1,2,Medium,False,False,True,False,True,True,True,False,False,True,True,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,True,False,1800000
25.086726,55.145205,1255,2,2,Medium,False,False,True,False,True,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,1318000
25.077009,55.146035,532,0,2,Medium,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,500000
25.049808,55.200832,510,0,1,Low,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,425000
25.111822,55.140521,1300,1,1,Low,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1125000
25.111229,55.136449,1890,1,2,Medium,False,True,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,1699000
25.218977,55.367945,2256,3,4,Medium,True,True,True,True,True,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,1950000
25.089515,55.171022,1237,2,2,Low,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1399999
25.201718,55.270982999999994,2023,3,3,Medium,True,False,True,False,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,4000000
25.108984,55.177657,1783,3,4,Low,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2000000
